ID,NAME,CITY,COACH,CAPTAIN
1,'Vegas Golden Knights','Las Vegas','Peter DeBoer','Mark Stone'
2,'Tampa Bay Lightning','Tampa','Jon Cooper','Steven Stamkos'
3,'Colorado Avalanche' ,'Denver','Jared Bednar','Gabriel Landeskog'
4,'Washington Capitals','Washington D.C.','Peter Laviolette','Alexander Ovechkin'
5,'Florida Panthers','Miami','Joel Quenneville','Aleksander Barkov'
6,'New York Islanders','Elmont','Barry Trotz','Anders Lee'
7,'St. Louis Blues', 'St. Louis','Craig Berube','Ryan OReilly'
8,'Philadelphia Flyers',' Philadelphia','Alain Vigneault','Claude Giroux'
9,'Chicago Blackhawks','Chicago','Jeremy Colliton','Jonathan Toews'
10,'Calgary Flames' ,'Calgary','Darryl Sutter','Connor Mackey'